code,name,status
1384,ホクリヨウ,continued(low-weight継続)
1420,サンヨーホームズ,continued(low-weight継続)
1429,日本アクア,continued(low-weight継続)
1430,ファーストコーポレーション,continued(low-weight継続)
1433,ベステラ,continued(low-weight継続)
1446,キャンディル,continued(low-weight継続)
1712,ダイセキ環境ソリューション,continued(low-weight継続)
1717,明豊ファシリティワークス,continued(low-weight継続)
1768,ソネック,continued(low-weight継続)
1811,錢高組,continued(low-weight継続)
1814,大末建設,continued(low-weight継続)
1826,佐田建設,continued(low-weight継続)
1827,ナカノフドー建設,continued(low-weight継続)
1847,イチケン,continued(low-weight継続)
1848,富士ピー・エス,continued(low-weight継続)
1866,北野建設,continued(low-weight継続)
1867,植木組,continued(low-weight継続)
1909,日本ドライケミカル,continued(low-weight継続)
1914,日本基礎技術,continued(low-weight継続)
1921,巴コーポレーション,continued(low-weight継続)
1967,ヤマト,continued(low-weight継続)
1972,三晃金属工業,continued(low-weight継続)
2009,鳥越製粉,continued(low-weight継続)
2107,東洋精糖,continued(low-weight継続)
2112,塩水港精糖,continued(low-weight継続)
2139,中広,continued(low-weight継続)
2163,アルトナー,continued(low-weight継続)
2169,ＣＤＳ,continued(low-weight継続)
2180,サニーサイドアップグループ,continued(low-weight継続)
2183,リニカル,continued(low-weight継続)
2196,エスクリ,continued(low-weight継続)
2198,アイ・ケイ・ケイホールディングス,continued(low-weight継続)
2215,第一屋製パン,continued(low-weight継続)
2286,林兼産業,continued(low-weight継続)
2311,エプコ,continued(low-weight継続)
2376,サイネックス,continued(low-weight継続)
2410,キャリアデザインセンター,continued(low-weight継続)
2418,ツカダ・グローバルホールディング,continued(low-weight継続)
2424,ブラス,continued(low-weight継続)
2428,ウェルネット,continued(low-weight継続)
2464,Ａｏｂａ‐ＢＢＴ,continued(low-weight継続)
2485,ティア,continued(low-weight継続)
2487,ＣＤＧ,continued(low-weight継続)
2597,ユニカフェ,continued(low-weight継続)
2599,ジャパンフーズ,continued(low-weight継続)
2612,かどや製油,continued(low-weight継続)
